"Product ID";Imagen;Nombre;Referencia;Categoría;"Precio (imp. excl.)";"Precio (imp. incl.)";Cantidad;Estado;Posición
64;https://weltcom.com.pe/126/lenovo-legion-5-15imh05h-gaming.jpg;"LENOVO LEGION 5 15IMH05H GAMING";2492;"Laptops para Gamers";5800.000000;6844;1;0;12
63;https://weltcom.com.pe/125/lenovo-legion-5-15imh05.jpg;"LENOVO LEGION 5 15IMH05";2459;Inicio;4100.000000;4838;3;0;11
62;https://weltcom.com.pe/120/lenovo-l340-15irh-gaming.jpg;"LENOVO L340-15IRH GAMING";2341;Inicio;0.000000;0;2;0;10
37;https://weltcom.com.pe/58/hp-omen-15-en0023dx.jpg;"HP OMEN 15-EN0023DX";1993;Inicio;5100.000000;6018;2;0;5
30;https://weltcom.com.pe/46/hp-omen-15-ek0013dx.jpg;"HP Omen 15-EK0013DX";1984;Inicio;6120.000000;7221.6;3;0;3
31;https://weltcom.com.pe/50/hp-omen-15-dh1060nr.jpg;"HP OMEN 15-DH1060NR";1996;Inicio;6300.000000;7434;2;0;4
54;https://weltcom.com.pe/101/dell-g5-i5505-a753slv-pus-amd.jpg;"DELL G5 I5505-A753SLV-PUS AMD";1238;Inicio;4300.000000;5074;4;0;9
45;https://weltcom.com.pe/77/asus-rog-strix-g512li-bi7n10.jpg;"ASUS ROG STRIX G512LI-BI7N10";0237;Inicio;4440.000000;5239.2;4;0;7
44;https://weltcom.com.pe/74/asus-rog-strix-g-gl531gt-rs73-gaming.jpg;"ASUS ROG STRIX G GL531GT-RS73 GAMING";0231;Inicio;4300.000000;5074;3;0;6
49;https://weltcom.com.pe/90/asus-asus-rog-strix-iii-g531gw-xb74gaming.jpg;"ASUS ASUS ROG STRIX III G531GW-XB74GAMING";;Inicio;6800.000000;8024;3;0;8
24;https://weltcom.com.pe/33/acer-predator-helios-300-ph315-53-72xd-gaming.jpg;"ACER PREDATOR HELIOS 300 PH315-53-72XD GAMING 0581";0581;"Laptops para Gamers";5300.000000;6254;3;0;2
1;https://weltcom.com.pe/26/acer-nitro-5-an515-55-55sd.jpg;"ACER NITRO 5 AN515-55-55SD";"NITRO 5 AN515-55-55SD";"Laptops para Gamers";3500.000000;4130;2;0;1
